modification.type,modification.ID,design.decision,expectation.tested,motivation.for.test,source,statistical.action.or.logging.necessary,requires.statistically.motivated.action,logging.in.known.remaining.dependencies,relative.overlap.fsmall.in.flarge.sufficient,over.19.samples.applicable.for.test,mu.plus.sigma.under.20,cohens.d.over.13,resulting.modification,relevant.features,resulting.added.features,is.added.feature.kept,resulting.removed.features,feature.1.for.test,feature.2.for.test,test,f1.equals.for.test,f1.unequals.for.test,f2.equals.for.test,f2.unequals.for.test,nr.lgs.f1,nr.lgs.f2,absolute.overlap.f1.f2,relative.overlap.fsmall.in.flarge,relative.overlap.flarge.in.fsmall,samples.disregarded.insufficient.lgs.applicable,samples.assessed,mean.d1.across.tested.samples,sd.d1.across.tested.samples,mean.plus.sd.d1.across.tested.samples,mean.d2.across.tested.samples,sd.d2.across.tested.samples,mean.plus.sd.d2.across.tested.samples,mean.baseline.1,mean.baseline.2,d1.baseline1.cohensd,d2.baseline2.cohensd,maximum.sum,minimum.cohensd,minimum.sum,maximum.cohensd
statistical,S-CPA-7-C,,comparative construction with form elsewhere meaning surpass/exceed OR conjoined (corresponding state from merged feature),,,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB265, GB900EO",NA,NA,NA,GB265,GB900EO,OR,1,0,conjoined clauses,"neither, marker of standard with elsewhere locational meaning",1283,1196,1136,0.9498327759,0.8854247857,0,500,0.12,0.09,0.22,0.14,0.1,0.24,0.81,0.77,6.1,5,0.24,5,0.22,6.1
statistical,S-CPA-7-O,,comparative construction with form elsewhere meaning surpass/exceed OR conjoined,different states in WALS chapter 121,wals121,this test involves a feature that is modified due to statistical conditioning; the corresponding test with the conditioned feature is performed also.,no,yes,yes,yes,no,yes,NA,"GB265, GB270",NA,NA,NA,GB265,GB270,OR,1,0,1,0,1283,1219,1169,0.9589827728,0.9111457521,0,500,0.15,0.1,0.24,0.16,0.1,0.26,0.79,0.77,5.5,4.8,0.26,4.8,0.24,5.5
statistical,S-CPA-8-C,,conparative degree marker on property word OR conjoined (corresponding state from merged feature),,,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,no,tendency logged in known.remaining.dependencies,"GB800m, GB900EO",NA,NA,NA,GB800m,GB900EO,OR,1,0,conjoined clauses,"neither, marker of standard with elsewhere locational meaning",1304,1196,1129,0.9439799331,0.865797546,0,500,0.15,0.06,0.21,0.37,0.14,0.51,0.81,0.53,7.2,0.9,0.51,0.9,0.21,7.2
statistical,S-CPA-8-O,,conparative degree marker on property word OR conjoined,different states in WALS chapter 121,wals121,this test involves a feature that is modified due to statistical conditioning; the corresponding test with the conditioned feature is performed also.,no,yes,yes,yes,no,no,NA,"GB800m, GB270",NA,NA,NA,GB800m,GB270,OR,1,0,1,0,1304,1219,1156,0.9483182937,0.8865030675,0,500,0.18,0.06,0.24,0.41,0.14,0.54,0.79,0.53,6.6,0.7,0.54,0.7,0.24,6.6
statistical,S-CPD-1,,"IF verb compounding, THEN serial verb constructions","Verb compounding is sometimes called a serial verb construction, and the two can be easily confused. In addition, serial verbs can diachronically lead to verb compounding, so we expect a correlation",,no,no,no,yes,yes,no,no,NA,"GB122, GB118",NA,NA,NA,GB122,GB118,THEN,1,0,1,0,1623,1590,1269,0.7981132075,0.7818853974,0,500,0.64,0.09,0.73,,,,0.6,,0.6,,0.73,0.6,0.73,0.6
statistical,S-CPD-3,,"IF verb compounding, THEN morphological TAM","Verb incorporation is typically a feature of highly polysynthetic languages which also mark other grammatical information synthetically. We expect it to be unusual to have verb incorporation (which is a relatively rare, highly synthetic feature) without marking grammatical information like TAM or SAP on the verb (which is relatively common, even with moderately synthetic languages)",,no,no,no,yes,yes,yes,no,NA,"GB122, GB770m",NA,NA,NA,GB122,GB770m,THEN,1,0,1,0,1623,2351,1577,0.9716574245,0.6707783922,0,500,0.03,0.03,0.06,,,,0.03,,0.2,,0.06,0.2,0.06,0.2
statistical,S-CPD-4,,"IF noun incorporation, THEN morphological TAM","Noun incorporation is typically a feature of highly polysynthetic languages which also mark other grammatical information synthetically. We expect it to be unusual to have noun incorporation (which is a relatively rare, highly synthetic feature) without marking grammatical information like TAM or SAP on the verb (which is relatively common, even with moderately synthetic languages).",,no,no,no,yes,yes,yes,no,NA,"GB124, GB770m",NA,NA,NA,GB124,GB770m,THEN,1,0,1,0,1660,2351,1620,0.9759036145,0.6890684815,0,500,0.01,0.02,0.03,,,,0.03,,1,,0.03,1,0.03,1
statistical,S-CPE-1,,complementizer of think/know either preposed OR postposed,Single strategy may be expected,,"yes, but only for one of the OR dimensions, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,no,tendency logged in known.remaining.dependencies,"GB421c, GB422c",NA,NA,NA,GB421c,GB422c,OR,1,0,1,0,569,566,558,0.9858657244,0.9806678383,0,500,0.08,0.07,0.16,0.16,0.14,0.29,0.61,0.29,3.3,0.7,0.29,0.7,0.16,3.3
statistical,S-CST-1,,"IF causatives formed by affixes or clitics, THEN verbal affixes or clitics that turn intransitive verbs into transitive ones","Causatives are valence operations that add an argument. If they are present as affixes, we expect affixes to be able to turn intransitive verbs into transitive ones.",,"yes, modification",yes,yes,yes,yes,yes,yes,statistically motivated conditioning (conservative),"GB155, GB113",GB155C,yes,GB155,GB155,GB113,THEN,1,0,1,0,2051,1871,1750,0.9353287012,0.8532423208,0,500,0.1,0.03,0.13,,,,0.34,,7,,0.13,7,0.13,7
statistical,S-DEM-1,,"IF elevation, THEN three or more distances in demonstratives","Elevation distinctions in demonstratives are rare, such that elaborate demonstrative systems are expected generally if elevation distctions are present",,no,no,no,yes,yes,no,no,NA,"GB036, GB035",NA,NA,NA,GB036,GB035,THEN,1,0,1,0,2179,2186,2105,0.9660394676,0.9629460201,1,499,0.36,0.21,0.57,,,,0.52,,0.8,,0.57,0.8,0.57,0.8
statistical,S-DEM-2,,"IF visible-invisible, THEN three or more distances in demonstratives","Visibility distinctions in demonstratives are relatively rare, such that elaborate demonstrative systems are expected generally if visibility distctions are present",,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB037, GB035",NA,NA,NA,GB037,GB035,THEN,1,0,1,0,2133,2186,2066,0.968588842,0.945105215,0,500,0.26,0.13,0.39,,,,0.52,,2.1,,0.39,2.1,0.39,2.1
statistical,S-DIA-1,,"IF augmentative marking, THEN diminutive marking also",Diminutives are more common than augmentatives.,,"yes, modification",yes,yes,yes,yes,yes,yes,statistically motivated conditioning (conservative),"GB702drm, GB701drm",GB702drmC,yes,GB702drm,GB702drm,GB701drm,THEN,1,0,1,0,1282,1446,1218,0.9500780031,0.8423236515,0,500,0.09,0.06,0.15,,,,0.43,,5.5,,0.15,5.5,0.15,5.5
statistical,S-DIA-2,,either diminutive/augmentative by nominal classification OR diminutive/augmentative affix,Single strategy may be expected,,"yes, but only for one of the OR dimensions, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,no,tendency logged in known.remaining.dependencies,"GB703drmc, GB704drm",NA,NA,NA,GB703drmc,GB704drm,OR,1,0,1,0,607,1431,478,0.7874794069,0.3340321454,6,494,0.39,0.29,0.68,0.09,0.07,0.16,0.44,0.89,0.2,7.7,0.68,0.2,0.16,7.7
statistical,S-GEN-1-C,,"IF gender in nouns (conditioned on number), THEN gender in pronouns",,,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB551mC, GB030",NA,NA,NA,GB551mC,GB030,THEN,1,0,1,0,1652,2370,1613,0.9763922518,0.6805907173,0,500,0.43,0.06,0.49,,,,0.71,,6.2,,0.49,6.2,0.49,6.2
statistical,S-GEN-1-O,,"IF gender in nouns, THEN gender in pronouns",cf Greenberg 1963 U43,greenberg1963some,this test involves a feature that is modified due to statistical conditioning; the corresponding test with the conditioned feature is performed also,no,yes,yes,yes,no,yes,NA,"GB551m, GB030",NA,NA,NA,GB551m,GB030,THEN,1,0,1,0,2054,2370,1996,0.9717624148,0.8421940928,0,500,0.4,0.05,0.46,,,,0.71,,7.6,,0.46,7.6,0.46,7.6
statistical,S-LOM-1-C,,marking on possessor (conditioned on case) OR marking on possessed (conditioned on SAP),,,no,no,no,yes,yes,no,no,NA,"GB590mC, GB591mC",NA,NA,NA,GB590mC,GB591mC,OR,1,0,1,0,1152,1130,800,0.7079646018,0.6944444444,0,500,0.39,0.08,0.47,0.41,0.09,0.49,0.41,0.44,0.2,0.3,0.49,0.2,0.47,0.3
statistical,S-LOM-1-O,,marking on possessor OR marking on possessed,Single strategy may be expected,,this test involves a feature that is modified due to statistical conditioning; the corresponding test with the conditioned feature is performed also,no,yes,yes,yes,no,no,NA,"GB590m, GB591m",NA,NA,NA,GB590m,GB591m,OR,1,0,1,0,1850,1873,1828,0.9881081081,0.9759743727,0,500,0.37,0.07,0.44,0.33,0.06,0.39,0.47,0.54,1,2.2,0.44,1,0.39,2.2
statistical,S-LOM-2-C,,"IF marking on possessed, THEN SAP-indexing on verb (if morphological TAM present)",,,"yes, modification",yes,yes,yes,yes,yes,yes,statistically motivated conditioning (conservative),"GB591m, GB625mC",GB591mC,yes,GB591m,GB591m,GB625mC,THEN,1,0,1,0,1873,1889,1449,0.7736252002,0.7670725251,0,500,0.05,0.03,0.08,,,,0.13,,2.7,,0.08,2.7,0.08,2.7
statistical,S-LOM-2-O,,"IF marking on possessed, THEN SAP-indexing on verb",We can expect that there is a tendency for head-marking across verbs and nouns,,this test involves a feature that is modified due to statistical conditioning; the corresponding test with the conditioned feature is performed also,yes,yes,yes,yes,yes,yes,NA,"GB591m, GB625m",NA,NA,NA,GB591m,GB625m,THEN,1,0,1,0,1873,2350,1804,0.9631607048,0.7676595745,0,500,0.07,0.03,0.1,,,,0.16,,2.9,,0.1,2.9,0.1,2.9
statistical,S-NEG-1a,,verb modification (conditioned on morphological TAM) OR auxiliary verb for standard negation,Single strategy may be expected,,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB107C, GB298",NA,NA,NA,GB107C,GB298,OR,1,0,1,0,1856,2038,1610,0.8674568966,0.7899901865,0,500,0.13,0.04,0.17,0.68,0.15,0.83,0.89,0.4,11.6,1.7,0.83,1.7,0.17,11.6
statistical,S-NEG-1b,,verb modification for negation OR auxiliary particle for negation,Single strategy may be expected,,no,no,no,yes,yes,no,no,NA,"GB107C, GB299",NA,NA,NA,GB107C,GB299,OR,1,0,1,0,1856,2061,1621,0.8733836207,0.7865114022,0,500,0.38,0.06,0.44,0.41,0.06,0.47,0.38,0.4,0,0,0.47,0,0.44,0
statistical,S-NEG-1c,,auxiliary verb OR auxiliary particle,Single strategy may be expected,,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB298, GB299",NA,NA,NA,GB298,GB299,OR,1,0,1,0,2038,2061,2012,0.9872423945,0.9762251334,0,500,0.19,0.12,0.32,0.03,0.02,0.06,0.38,0.89,1.4,20.7,0.32,1.4,0.06,20.7
statistical,S-NEG-2,,negation clause-final OR clause-initial,Single strategy may be expected,,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB137, GB138",NA,NA,NA,GB137,GB138,OR,1,0,1,0,2222,2211,2163,0.9782903664,0.9734473447,0,500,0.26,0.05,0.31,0.27,0.05,0.32,0.55,0.54,3.6,3.4,0.32,3.4,0.31,3.6
statistical,S-NEG-3,,"IF same negator to all, THEN copula for nominal predication","If a verbal negator can be used with all other predicative types (locational, existential, nominal), then we expect a verbal copula. However, in GB117 non-verbal copulas are also included. Also for a TRUE to GB140 all negators need to be identical. These coding choices may weaken the proposed correlation",,no,no,no,yes,yes,no,no,NA,"GB140, GB117",NA,NA,NA,GB140,GB117,THEN,1,0,1,0,1590,2029,1450,0.9119496855,0.7146377526,0,500,0.48,0.06,0.55,,,,0.46,,0.4,,0.55,0.4,0.55,0.4
statistical,S-NEG-TAM-1,,"IF there is a difference between imperative and declarative negation constructions, THEN there is mood","Negation is closely related to irrealis mood. If there is a distinction between types of negation with differing sentential force, there is probably mood distinction in the language",,no,no,no,yes,yes,yes,no,NA,"GB139, GB558drm",NA,NA,NA,GB139,GB558drm,THEN,1,0,1,0,2039,1963,1677,0.8543046358,0.8224619912,0,500,0.06,0.03,0.08,,,,0.04,,0.7,,0.08,0.7,0.08,0.7
statistical,S-NEG-TAM-2,,"IF standard negation can be marked by an affix, clitic or modification of the verb, THEN there is morphological TAM",Negation is close to mood marking and unlikely to be the only marking on the verb without other morphological TAM-components. ,,"yes, modification",yes,yes,yes,yes,yes,yes,statistically motivated conditioning (conservative),"GB107, GB777drm",GB107C,yes,GB107,GB107,GB777drm,THEN,1,0,1,0,2301,2232,2135,0.9565412186,0.9278574533,0,500,0.01,0.01,0.02,,,,0.06,,2.8,,0.02,2.8,0.02,2.8
statistical,S-NUM-02,,"IF singular marked in NPs, THEN plural in NPs",,cysouw2003paradigmatic;wals35,"yes, modification",yes,yes,yes,yes,yes,yes,statistically motivated conditioning (conservative),"GB951drmc, GB955drmc",GB951drmcC,yes,GB951drmc,GB951drmc,GB955drmc,THEN,1,0,1,0,1697,1816,1676,0.987625221,0.922907489,0,500,0.03,0.04,0.07,,,,0.18,,3.5,,0.07,3.5,0.07,3.5
statistical,S-NUM-03,,"IF dual in NPs, THEN plural in NPs",Greenberg 1963 U34,cysouw2003paradigmatic;greenberg1963some;wals35,"yes, modification",yes,yes,yes,yes,yes,yes,statistically motivated conditioning (conservative),"GB952drmc, GB955drmc",GB952drmcC,yes,GB952drmc,GB952drmc,GB955drmc,THEN,1,0,1,0,1646,1816,1618,0.9829890644,0.890969163,0,500,0.09,0.05,0.14,,,,0.18,,1.7,,0.14,1.7,0.14,1.7
statistical,S-NUM-04-C,,"IF dual marking in NPs (conditioned on plural in NPs at all), THEN dual marking in pronouns",WALS chapter 35,wals35,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB952drmcC, GB031",NA,NA,NA,GB952drmcC,GB031,THEN,1,0,1,0,1374,2334,1356,0.9868995633,0.5809768638,0,500,0.28,0.09,0.37,,,,0.7,,5,,0.37,5,0.37,5
statistical,S-NUM-05,,"IF trial in NPs, THEN dual in NPs",Greenberg 1963 U34,cysouw2003paradigmatic;greenberg1963some;wals35,"yes, modification",yes,yes,yes,yes,yes,yes,statistically motivated conditioning (conservative),"GB953drmc, GB952drmc",GB953drmcC,yes,GB953drmc,GB953drmc,GB952drmc,THEN,1,0,1,0,1623,1646,1599,0.9852125693,0.9714459295,402,98,0,0,0,,,,0.79,,23.7,,0,23.7,0,23.7
statistical,S-NUM-06-C,,"IF paucal in NPs (conditioned on trials not being present), THEN plural in NPs",,,no,no,no,yes,yes,no,no,NA,"GB954drmcC, GB955drmc",NA,NA,NA,GB954drmcC,GB955drmc,THEN,1,0,1,0,1596,1816,1574,0.9862155388,0.8667400881,18,482,0.25,0.26,0.51,,,,0.18,,0.3,,0.51,0.3,0.51,0.3
statistical,S-NUM-06-O,,"IF paucal in NPs, THEN plural in NPs",,cysouw2003paradigmatic;wals35,this test involves a feature that is modified due to statistical conditioning; the corresponding test with the conditioned feature is performed also,no,no,yes,yes,no,no,NA,"GB954drmc, GB955drmc",NA,NA,NA,GB954drmc,GB955drmc,THEN,1,0,1,0,1607,1816,1584,0.9856876167,0.872246696,18,482,0.25,0.26,0.51,,,,0.18,,0.3,,0.51,0.3,0.51,0.3
statistical,S-NUM-07-C,,phonologically free number in NPs (conditioned on plural marking in NPs) OR morphological number in NPs (conditioned on plural marking in NPs),,,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB990drmcC, GB991drmcC",NA,NA,NA,GB990drmcC,GB991drmcC,OR,1,0,1,0,1358,1553,1341,0.9874815906,0.8634900193,0,500,0.56,0.12,0.68,0.14,0.04,0.18,0.08,0.78,3.3,7.9,0.68,3.3,0.18,7.9
statistical,S-NUM-07-O,,phonologically free number in NPs OR morphological number in NPs,different states in WALS chapter 33,wals33,this test involves a feature that is modified due to statistical conditioning; the corresponding test with the conditioned feature is performed also.,no,yes,yes,yes,no,yes,NA,"GB990drmc, GB991drmc",NA,NA,NA,GB990drmc,GB991drmc,OR,1,0,1,0,1617,1816,1583,0.9789734075,0.8716960352,0,500,0.54,0.12,0.66,0.13,0.04,0.17,0.22,0.82,2.3,9.7,0.66,2.3,0.17,9.7
statistical,S-NUM-08,,"IF phonologically free number marking of NPs at all, THEN plural in NPs",,cysouw2003paradigmatic;wals35,"yes, modification",yes,yes,yes,yes,yes,yes,statistically motivated conditioning (conservative),"GB990drmc, GB955drmc",GB990drmcC,yes,GB990drmc,GB990drmc,GB955drmc,THEN,1,0,1,0,1617,1816,1601,0.990105133,0.8816079295,0,500,0.06,0.06,0.12,,,,0.18,,2,,0.12,2,0.12,2
statistical,S-NUM-09,,"IF morphological number marking of nouns at all, THEN plural in NPs",,cysouw2003paradigmatic;wals35,"yes, modification",yes,yes,yes,yes,yes,yes,statistically motivated conditioning (conservative),"GB991drmc, GB955drmc",GB991drmcC,yes,GB991drmc,GB991drmc,GB955drmc,THEN,1,0,1,0,1816,1816,1796,0.9889867841,0.9889867841,0,500,0.03,0.01,0.04,,,,0.18,,5.1,,0.04,5.1,0.04,5.1
statistical,S-NUM-10,,"IF associative plural, THEN number in NPs",,moravcsik2003semantic;wals36,"yes, modification",yes,yes,yes,yes,yes,yes,statistically motivated conditioning (conservative),"GB046, GB945m",GB046C,yes,GB046,GB046,GB945m,THEN,1,0,1,0,1479,2139,1360,0.9195402299,0.6358111267,0,500,0.03,0.04,0.07,,,,0.11,,1.8,,0.07,1.8,0.07,1.8
statistical,S-NUM-11-C,,trial (conditioned on dual) OR paucal in NPs,,,"yes, modification",yes,yes,yes,yes,yes,yes,statistically motivated conditioning (liberal),"GB953drmcC, GB954drmc",GB954drmcC,yes,GB954drmc,GB953drmcC,GB954drmc,OR,1,0,1,0,220,1607,213,0.9681818182,0.1325451151,466,34,0,0,0,0,0,0,0.95,0.91,54.6,49.6,0,49.6,0,54.6
statistical,S-NUM-11-O,,trial OR paucal in NPs,"We expect that languages will not resort to encoding both trial and paucal number, because trial number would most likely be subsumed under the paucal category.",,this test involves a feature that is modified due to statistical conditioning; the corresponding test with the conditioned feature is performed also.,yes,yes,yes,yes,yes,yes,NA,"GB953drmc, GB954drmc",NA,NA,NA,GB953drmc,GB954drmc,OR,1,0,1,0,1623,1607,1603,0.9975108899,0.9876771411,405,95,0,0,0,0,0,0,0.96,0.99,59.2,352.3,0,59.2,0,352.3
statistical,S-NUM-GEN-1-C,,"IF non-phonological allomorphy of number markers, THEN gender/noun classes","If there are different number markers for nouns, it is probably because there is gender distinction between nouns",,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB039c, GB551mC",NA,NA,NA,GB039c,GB551mC,THEN,1,0,1,0,1689,1652,1525,0.9231234867,0.9029011249,0,500,0.27,0.08,0.35,,,,0.46,,2.7,,0.35,2.7,0.35,2.7
statistical,S-NUM-GEN-1-O,,"IF non-phonological allomorphy of number markers, THEN gender/noun classes","If there are different number markers for nouns, it is probably because there is gender distinction between nouns",,this test involves a feature that is modified due to statistical conditioning; the corresponding test with the conditioned feature is performed also,no,yes,yes,yes,no,yes,NA,"GB039c, GB551m",NA,NA,NA,GB039c,GB551m,THEN,1,0,1,0,1689,2054,1525,0.9029011249,0.7424537488,0,500,0.27,0.08,0.35,,,,0.49,,3,,0.35,3,0.35,3
statistical,S-NUM-GEN-2,,"IF gender, THEN number","cf Greenberg 1963, U36",greenberg1963some,"yes, modification",yes,yes,yes,yes,yes,yes,statistically motivated conditioning (conservative),"GB551m, GB945m",GB551mC,yes,GB551m,GB551m,GB945m,THEN,1,0,1,0,2054,2139,1912,0.9308666018,0.8938756428,0,500,0.07,0.03,0.1,,,,0.11,,1.7,,0.1,1.7,0.1,1.7
statistical,S-NUS-1,,decimal OR body-part-tallying,"The use of body parts to count numbers is not expected to coincide with counting on fingers (the origin of base 10); multiple systems are more likely associated with context, not captured in grammars",,"yes, modification",yes,yes,yes,yes,yes,yes,"merging, exclusion of both (neither vs. feature1 vs. feature2)","GB333, GB336",GB332EON,yes,"GB333, GB336",GB333,GB336,OR,1,0,1,0,1743,1694,1569,0.9262101535,0.900172117,1,499,0.01,0.01,0.02,0.05,0.1,0.16,0.94,0.48,33.6,3.7,0.16,3.7,0.02,33.6
statistical,S-NUS-2-C,,"IF elements of quinary numeral system, THEN decimal","Pure quinary systems are rare, usually vigesimal elements exist within an otherwise decimal system",,no,no,no,yes,yes,no,no,NA,"GB334, GB332EON",NA,NA,NA,GB334,GB332EON,THEN,1,0,decimal system,"neither, body-part tallying system",1780,1666,1605,0.9633853541,0.9016853933,0,500,0.49,0.1,0.59,,,,0.46,,0.4,,0.59,0.4,0.59,0.4
statistical,S-NUS-3-C,,"IF elements of vigesimal numeral system, THEN decimal","Pure vigesimal systems are rare, usually vigesimal elements exist within an otherwise decimal system",,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB335, GB332EON",NA,NA,NA,GB335,GB332EON,THEN,1,0,decimal system,"neither, body-part tallying system",1671,1666,1596,0.9579831933,0.9551166966,0,500,0.7,0.12,0.82,,,,0.46,,2.2,,0.82,2.2,0.82,2.2
statistical,S-PAS-1,,morphological OR phonologically free passive,Single strategy may be expected,,"yes, but only for one of the OR dimensions, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,no,tendency logged in known.remaining.dependencies,"GB147c, GB302c",NA,NA,NA,GB147c,GB302c,OR,1,0,1,0,1025,914,904,0.989059081,0.8819512195,2,498,0.03,0.03,0.06,0.21,0.19,0.4,0.88,0.14,13.6,0.3,0.4,0.3,0.06,13.6
statistical,S-POL-01a,,particle initial OR particle in the middle,"different states in WALS chapter 92, but combined state also exists (although it is unidentifiable because it is part of a mixed state)",wals92,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB262c, GB264c",NA,NA,NA,GB262c,GB264c,OR,1,0,1,0,998,988,976,0.987854251,0.9779559118,0,500,0.13,0.09,0.22,0.14,0.1,0.24,0.75,0.72,5.1,4.4,0.24,4.4,0.22,5.1
statistical,S-POL-01b,,particle final OR particle initial,"different states in WALS chapter 92, but combined state also exists (although it is unidentifiable because it is part of a mixed state)",wals92,"yes, but only for one of the OR dimensions, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,no,tendency logged in known.remaining.dependencies,"GB263c, GB262c",NA,NA,NA,GB263c,GB262c,OR,1,0,1,0,1010,998,985,0.9869739479,0.9752475248,0,500,0.11,0.05,0.15,0.27,0.12,0.38,0.72,0.34,7,0.5,0.38,0.5,0.15,7
statistical,S-POL-01c,,particle final OR particle in the middle,"different states in WALS chapter 92, but combined state also exists (although it is unidentifiable because it is part of a mixed state)",wals92,"yes, but only for one of the OR dimensions, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,no,tendency logged in known.remaining.dependencies,"GB263c, GB264c",NA,NA,NA,GB263c,GB264c,OR,1,0,1,0,1010,988,981,0.9929149798,0.9712871287,0,500,0.12,0.05,0.17,0.31,0.13,0.44,0.75,0.34,6.9,0.2,0.44,0.2,0.17,6.9
statistical,S-POL-02,,verb morphology and particle OR verb morphology only,different states in WALS chapter 116,wals116,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB285cc, GB286c",NA,NA,NA,GB285cc,GB286c,OR,1,0,1,0,100,330,97,0.97,0.2939393939,53,447,0.54,0.35,0.89,0.19,0.13,0.32,0.04,0.68,1.3,1.9,0.89,1.3,0.32,1.9
statistical,S-POL-03,,verbal mophology OR particle,"different states in WALS chapter 116, but combination state also exists",wals116,"yes, but only for one of the OR dimensions, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,no,tendency logged in known.remaining.dependencies,"GB949m, GB950m",NA,NA,NA,GB949m,GB950m,OR,1,0,1,0,1638,1724,1582,0.9658119658,0.9176334107,0,500,0.38,0.09,0.46,0.23,0.06,0.28,0.43,0.66,0.5,4.7,0.46,0.5,0.28,4.7
statistical,S-POL-04,,V-not-V OR special word order,V-not-V is not categorized as a special word order according to Grambank documentation. It is very unlikely that both strategies are used by the same language.,,no,no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB297, GB260",NA,NA,NA,GB297,GB260,OR,1,0,1,0,1628,1758,1569,0.9637592138,0.8924914676,144,356,0.2,0.28,0.48,0.28,0.37,0.65,0.97,0.97,2.8,1.8,0.65,1.8,0.48,2.8
statistical,S-POL-05,,tone for polar interrogation OR segmental verbal morphology for polar interrogation,"Tonal changes can be viewed as morphology, so here we contrast it with segmental morphology",wals116,"yes, but only for one of the OR dimensions, tendency logged in known.remaining.dependencies",no,yes,yes,yes,yes,no,tendency logged in known.remaining.dependencies,"GB291c, GB947mc",NA,NA,NA,GB291c,GB947mc,OR,1,0,1,0,391,403,383,0.9795396419,0.9503722084,140,360,0,0.06,0.06,0,0,0,0.06,0.93,0.8,30.4,0.06,0.8,0,30.4
statistical,S-POL-06,,V-not-V OR particle,"V-not-V is not categorized as a special word order according to Grambank documentation, but it could be seen as a type of special word order and stand in opposition to the other means of expressing polar interrogaton that are expressed as different states in WALS chapter 116",,"yes, but only for one of the OR dimensions, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,no,tendency logged in known.remaining.dependencies,"GB297, GB950m",NA,NA,NA,GB297,GB950m,OR,1,0,1,0,1628,1724,1564,0.9606879607,0.9071925754,46,454,0.69,0.33,1.02,0.04,0.02,0.06,0.43,0.97,0.7,27.3,1.02,0.7,0.06,27.3
statistical,S-POL-07,,V-not-V OR verbal morphology,"V-not-V is not categorized as a special word order according to Grambank documentation, but it could be seen as a type of special word order and stand in opposition to the other means of expressing polar interrogaton that are expressed as different states in WALS chapter 116",,no,no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB297, GB949m",NA,NA,NA,GB297,GB949m,OR,1,0,1,0,1628,1638,1532,0.941031941,0.9352869353,47,453,0.1,0.22,0.33,0.01,0.02,0.03,0.66,0.97,2.4,33.7,0.33,2.4,0.03,33.7
statistical,S-POL-08,,V-not-V OR intonation only,"V-not-V is not categorized as a special word order according to Grambank documentation, but it could be seen as a type of special word order and stand in opposition to the other means of expressing polar interrogaton that are expressed as different states in WALS chapter 116",,"yes, but only for one of the OR dimensions, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,no,tendency logged in known.remaining.dependencies,"GB297, GB257",NA,NA,NA,GB297,GB257,OR,1,0,1,0,1628,1635,1443,0.8863636364,0.8825688073,71,429,0.34,0.39,0.73,0.02,0.03,0.05,0.56,0.97,0.6,28.4,0.73,0.6,0.05,28.4
statistical,S-POL-09,,particle OR intonation only,different states in WALS chapter 116,wals116,"yes, but only for one of the OR dimensions, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,no,tendency logged in known.remaining.dependencies,"GB950m, GB257",NA,NA,NA,GB950m,GB257,OR,1,0,1,0,1724,1635,1512,0.9247706422,0.8770301624,0,500,0.35,0.07,0.42,0.45,0.07,0.53,0.56,0.43,1.9,0.2,0.53,0.2,0.42,1.9
